ID,Code,Name,Description,Unit,Category,"Current Stock","Min Alert","Purchase Price",Status,"Pricing Tiers","Created Date"
252,PRDBD7513BA,"1.5 لیٹر",,پیٹ,بوتل,999916.000,10.000,0.00,active,"wholesale:0.000-∞=920.00 | retail:0.000-∞=920.00","2026-04-11 17:17:27"
586,PRD614366076492,"1.5 لیٹر پیپسی",,بوتل,بوتل,999969.000,10.000,0.00,active,"wholesale:0.000-∞=900.00 | retail:0.000-∞=900.00","2026-05-04 07:24:45"
445,PRD835728174818,"3DX بلیچ 30 والی",,ڈبہ,دوسرے,999993.000,10.000,0.00,active,"wholesale:0.000-∞=630.00 | retail:0.000-∞=630.00","2026-04-12 13:46:59"
446,PRD836612782775,"U کریم",,پیکٹ,دوسرے,999925.000,10.000,533.33,active,"wholesale:36.000-∞=15.28 | wholesale:0.000-35.000=16.67 | retail:0.000-5.000=20.00 | retail:6.000-∞=16.67","2026-04-12 13:47:41"
296,PRDBD752D3F,اجوائن,,کلو,مصالہ,999995.000,10.000,0.00,active,"wholesale:0.000-0.999=480.00 | wholesale:1.000-∞=400.00 | retail:0.000-0.999=480.00 | retail:1.000-∞=400.00","2026-04-11 17:17:27"
530,PRD611324793696,"اچار 100 والا",,پیکٹ,"بوم بوم واے",999995.000,10.000,0.00,active,"wholesale:0.000-∞=100.00 | retail:1.000-∞=100.00","2026-04-15 18:52:38"
349,PRD676528430127,"اچار گوشت ڈبہ",,ڈبہ,"نیشنل مصالہ",999998.000,10.000,0.00,active,"wholesale:0.000-5.000=140.00 | wholesale:6.000-∞=130.00 | retail:0.000-∞=140.00","2026-04-12 09:21:45"
357,PRD679800223862,"اچار گوشت شاشے",,شاشے,"نیشنل مصالہ",999997.000,10.000,0.00,active,"wholesale:6.000-∞=70.00 | wholesale:0.000-5.000=80.00 | retail:0.000-5.000=80.00 | retail:6.000-∞=70.00","2026-04-12 09:26:49"
205,PRDBD74F7E5,"اچارآدھا کلو والا",,بوتل,"نیشنل مصالہ",999995.000,10.000,285.00,active,"wholesale:0.000-∞=290.00 | retail:0.000-∞=300.00","2026-04-11 17:17:27"
204,PRDBD74F76E,"اچارکلو والا",,ڈبہ,"نیشنل مصالہ",999999.000,10.000,0.00,active,"wholesale:0.000-∞=600.00 | retail:0.000-∞=600.00","2026-04-11 17:17:27"
186,PRDBD74EEDE,"اخروٹ صابن 20 والا",,پیکٹ,"اخروٹ صرف",999503.000,10.000,0.00,active,"wholesale:0.000-∞=15.28 | retail:0.000-2.000=20.00 | retail:3.000-35.000=16.67 | retail:36.000-∞=15.28","2026-04-11 17:17:27"
185,PRDBD74EE41,"اخروٹ صابن 50والا",,پیکٹ,"اخروٹ صرف",999991.000,10.000,0.00,active,"wholesale:0.000-∞=41.67 | retail:0.000-23.000=45.00 | retail:24.000-∞=41.67","2026-04-11 17:17:27"
188,PRDBD74EFF4,"اخروٹ صرف 10 والا",,پیکٹ,"اخروٹ صرف",999975.000,10.000,0.00,active,"wholesale:0.000-∞=8.34 | retail:0.000-5.000=10.00 | retail:6.000-∞=8.34","2026-04-11 17:17:27"
187,PRDBD74EF6A,"اخروٹ صرف 50 والا",,پیکٹ,"اخروٹ صرف",999865.000,10.000,0.00,active,"wholesale:0.000-∞=41.67 | retail:0.000-5.000=50.00 | retail:6.000-∞=41.67","2026-04-11 17:17:27"
189,PRDBD74F07C,"اخروٹ صرف کلو",,پیکٹ,"اخروٹ صرف",999987.000,10.000,0.00,active,"wholesale:0.000-∞=290.00 | retail:0.000-9.000=300.00 | retail:10.000-∞=290.00","2026-04-11 17:17:27"
546,PRD112856130383,ادرک,,کلو,"ہری سبزی",999999.000,10.000,0.00,active,"wholesale:0.000-∞=320.00 | retail:0.000-∞=320.00","2026-04-17 12:34:59"
464,PRD877030899867,"ادرک پاؤڈر ڈبہ",,ڈبہ,"نیشنل مصالہ",999999.000,10.000,0.00,active,"wholesale:0.000-∞=180.00 | retail:0.000-∞=180.00","2026-04-12 14:55:26"
414,PRD812233891274,"اسپیشل بسکٹ 10والا",,ڈبہ,بسکٹ,999987.000,10.000,625.00,active,"wholesale:0.000-3.000=640.00 | wholesale:4.000-∞=635.00 | retail:0.000-∞=640.00","2026-04-12 13:07:13"
411,PRD811403291014,"اسپیشل بسکٹ 20والا",,ڈبہ,بسکٹ,999971.000,10.000,208.33,active,"wholesale:0.000-∞=210.00 | retail:0.000-∞=210.00","2026-04-12 13:06:19"
435,PRD828713750987,"اشرفی مربع کلو والا",,ڈبہ,مربع,999999.000,10.000,0.00,active,"wholesale:0.000-∞=450.00 | retail:0.000-∞=450.00","2026-04-12 13:35:19"
552,PRD867856095031,"اگربتی 240 والی",,پیکٹ,دوسرے,999997.000,10.000,0.00,active,"wholesale:0.000-∞=240.00 | retail:0.000-∞=240.00","2026-04-18 09:34:08"
563,PRD447343439173,الفی,,ڈبہ,دوسرے,999997.000,10.000,0.00,active,wholesale:0.000-∞=200.00,"2026-04-21 09:12:15"
273,PRDBD751F5E,"الو بخارہ",,کلو,مصالہ,999997.750,10.000,1900.00,active,"wholesale:0.000-0.999=2200.00 | wholesale:1.000-∞=2000.00 | retail:0.000-0.999=2200.00 | retail:1.000-∞=2000.00","2026-04-11 17:17:27"
275,PRDBD7520CF,"املی تھائی لینڈ",,کلو,مصالہ,999992.708,10.000,0.00,active,"wholesale:0.000-∞=480.00 | retail:0.000-∞=480.00","2026-04-11 17:17:27"
271,PRDBD751E3F,"املی عام",,کلو,مصالہ,999997.500,10.000,0.00,active,"wholesale:0.000-0.999=480.00 | wholesale:1.000-∞=450.00 | retail:0.000-0.999=480.00 | retail:1.000-∞=450.00","2026-04-11 17:17:27"
383,PRD788884751030,"انار املی",,ڈبہ,"منی مور پاپر واے",999997.000,10.000,0.00,active,"wholesale:0.000-∞=120.00 | retail:0.000-∞=120.00","2026-04-12 12:28:09"
276,PRDBD75216D,"انار دانہ",,کلو,مصالہ,999994.250,10.000,0.00,active,"wholesale:0.000-∞=800.00 | retail:0.000-0.999=880.00 | retail:1.000-∞=800.00","2026-04-11 17:17:27"
218,PRDBD74FF56,انڈے,,پیس,دوسرے,998248.000,10.000,0.00,active,"wholesale:0.000-∞=17.67 | retail:0.000-14.000=20.00 | retail:15.000-∞=17.67","2026-04-11 17:17:27"
508,PRD270274562074,"انعام سوپ",,پیکٹ,دوسرے,999923.000,10.000,1850.00,active,"wholesale:0.000-4.000=200.00 | wholesale:5.000-∞=190.00 | retail:0.000-4.000=200.00 | retail:5.000-∞=190.00","2026-04-15 09:24:32"
528,PRD590064797949,"انعام صرف 50 والا",,پیکٹ,صرف,999999.000,10.000,0.00,active,"wholesale:0.000-5.000=50.00 | wholesale:6.000-∞=41.67 | wholesale:6.000-∞=41.67 | retail:0.000-5.000=50.00","2026-04-15 18:17:32"
527,PRD584986407775,"انعام صرف کلو والا",,کلو,صرف,999999.000,10.000,0.00,active,"wholesale:0.000-4.000=300.00 | wholesale:5.000-∞=280.00 | retail:0.000-4.000=300.00 | retail:5.000-∞=280.00","2026-04-15 18:09:05"
490,PRD440614007181,"انعام نرول",,گتہ,صابن,999981.000,10.000,1670.00,active,"wholesale:0.000-∞=1700.00 | retail:1.000-∞=90.00","2026-04-14 10:22:01"
366,PRD776344359078,"ایریل صرف 10 والا",,پیکٹ,"ایریل صرف واے",999951.000,10.000,0.00,active,wholesale:0.000-∞=9.17,"2026-04-12 12:07:36"
367,PRD776587241223,"ایریل صرف 50 والا",,پیکٹ,"ایریل صرف واے",999927.000,10.000,0.00,active,wholesale:0.000-∞=46.67,"2026-04-12 12:07:58"
557,PRD833034064079,"ایریل صرف ادھا کلو والا",,پیکٹ,"ایریل صرف واے",999987.000,10.000,0.00,active,"wholesale:0.000-∞=275.00 | retail:0.000-∞=290.00","2026-04-19 12:22:26"
368,PRD776878559817,"ایریل صرف کلو",,پیکٹ,"ایریل صرف واے",999999.000,10.000,0.00,active,,"2026-04-12 12:08:27"
369,PRD780004774142,"ایکٹو 10 والا",,ڈبہ,بسکٹ,999990.000,10.000,0.00,active,"wholesale:0.000-5.000=210.00 | wholesale:6.000-∞=208.00 | retail:0.000-∞=210.00","2026-04-12 12:14:15"
359,PRD681229631756,"ایکسل صرف 10 والا",,پیکٹ,"شیخ نوشہرہ ورکاں",999747.000,10.000,2600.00,active,"wholesale:0.000-5.000=10.00 | wholesale:6.000-∞=9.17 | retail:0.000-5.000=10.00 | retail:6.000-∞=9.17","2026-04-12 09:29:22"
360,PRD681643832393,"ایکسل صرف 50 والا",,پیکٹ,"شیخ نوشہرہ ورکاں",999237.000,10.000,3200.00,active,"wholesale:0.000-71.000=46.67 | wholesale:72.000-∞=45.14 | retail:0.000-5.000=50.00 | retail:6.000-71.000=46.67 | retail:72.000-∞=45.84","2026-04-12 09:30:46"
537,PRD422501044494,"ایکسل صرف ادھا کلو والا",,پیکٹ,"شیخ نوشہرہ ورکاں",999985.000,10.000,0.00,active,"wholesale:0.000-2.000=280.00 | wholesale:3.000-∞=275.00 | retail:0.000-∞=280.00","2026-04-16 17:25:14"
361,PRD682489543482,"ایکسل صرف کلو",,پیکٹ,"شیخ نوشہرہ ورکاں",999991.000,10.000,6300.00,active,"wholesale:0.000-0.000=565.00 | retail:0.000-4.000=580.00 | retail:5.000-∞=570.00","2026-04-12 09:31:41"
313,PRDBD753971,باجرہ,,کلو,دال,999999.000,10.000,0.00,active,"wholesale:0.000-4.999=110.00 | wholesale:5.000-49.999=105.00 | wholesale:50.000-∞=104.00 | retail:0.000-4.999=110.00 | retail:5.000-∞=105.00","2026-04-11 17:17:27"
311,PRDBD7537E1,بادام,,کلو,مصالہ,999993.000,10.000,0.00,active,"wholesale:0.000-∞=880.00 | retail:0.000-∞=880.00","2026-04-11 17:17:27"
500,PRD627227456931,"بادام گری",,کلو,"ڈراۓ فروٹ",999995.364,10.000,0.00,active,"wholesale:0.000-0.999=3000.00 | wholesale:1.000-∞=2950.00 | retail:0.000-0.999=3000.00 | retail:1.000-∞=2950.00","2026-04-14 15:34:50"
486,PRD947949180532,"بادام گولی 5 والی",,ڈبہ,"گولی ٹافیاں واے",999988.000,10.000,124.16,active,"wholesale:0.000-5.000=130.00 | wholesale:6.000-∞=127.00 | retail:0.000-∞=130.00","2026-04-12 16:53:45"
280,PRDBD7523DA,"بادیاں ختائی",,کلو,مصالہ,999999.000,10.000,0.00,active,"wholesale:0.000-∞=2000.00 | retail:0.000-∞=2000.00","2026-04-11 17:17:27"
363,PRD775427103133,"برائٹ صرف 10 والا",,پیکٹ,"بونس صرف واے",999891.000,10.000,0.00,active,"wholesale:0.000-5.000=10.00 | wholesale:6.000-∞=9.17 | retail:0.000-5.000=10.00 | retail:6.000-∞=9.17","2026-04-12 12:06:11"
364,PRD775739957295,"برائٹ صرف 50 والا",,پیکٹ,"بونس صرف واے",999903.000,10.000,2670.00,active,"wholesale:0.000-5.000=50.00 | wholesale:6.000-∞=46.67 | retail:0.000-∞=50.00","2026-04-12 12:06:29"
365,PRD775919764841,"برائٹ صرف کلو",,پیکٹ,"بونس صرف واے",999999.000,10.000,0.00,active,"wholesale:0.000-∞=540.00 | retail:0.000-∞=560.00","2026-04-12 12:06:52"
