Product Type,Product Name,Barcode,Description,Company,Formula,Category,MRP,Sale Price,Sale Price Tax Included,Purchase Price,Purchase Price Tax Included,Wholesale Price,Minimum Wholesale Qty,Minimum Stock Qty,Maximum Stock Qty
019d6e83-77be-7d51-adde-58ce838ad828,بونس صرف 10 والا,42492384707,,بونس صرف,, صرف ,,120,FALSE,2120,FALSE,110,6,,
019d6e83-77be-7d51-adde-58ce838ad828,بونس صرف کلو,95448503499,,بونس صرف,, صرف ,,2640,FALSE,2418,FALSE,2500,3,,
019d6e83-77be-7d51-adde-58ce838ad828,بونس صرف 50 والا,19223866844,1850  توڑا,بونس صرف,, صرف ,,2100,FALSE,1790,FALSE,1960,6,,
019d6e83-77be-7d51-adde-58ce838ad828,اخروٹ صابن 50والا,79606787368,,اخروٹ صرف,,اخروٹ صرف,,1080,FALSE,0,FALSE,1000,24,,
019d6e83-77be-7d51-adde-58ce838ad828,اخروٹ صابن 20 والا,26616853982,,اخروٹ صرف,,اخروٹ صرف,,600,FALSE,0,FALSE,550,36,,
019d6e83-77be-7d51-adde-58ce838ad828,اخروٹ صرف 50 والا,52883472662,,اخروٹ صرف,,اخروٹ صرف,,1200,FALSE,0,FALSE,1000,6,,
019d6e83-77be-7d51-adde-58ce838ad828,اخروٹ صرف 10 والا,15140514023,,اخروٹ صرف,,اخروٹ صرف,,960,FALSE,750,FALSE,800,6,,
019d6e83-77be-7d51-adde-58ce838ad828,اخروٹ صرف کلو,30322516907,,اخروٹ صرف,,اخروٹ صرف,,3000,FALSE,0,FALSE,2900,3,,
019d6e83-77be-7d51-adde-58ce838ad828,مولی صابن,,,مولی صرف,,مولی صرف,,2500,FALSE,2370,FALSE,2400,3,,
019d6e83-77be-7d51-adde-58ce838ad828,مولی صرف 10 والا,68887901953,,مولی صرف,,مولی صرف,,960,FALSE,770,FALSE,800,6,,
019d6e83-77be-7d51-adde-58ce838ad828,مولی صرف 50 والا,60994003931,,مولی صرف,,مولی صرف,,1200,FALSE,1060,FALSE,1060,6,,
019d6e83-77be-7d51-adde-58ce838ad828,مولی صرف کلو,66634611521,,مولی صرف,,مولی صرف,,3200,FALSE,3050,FALSE,3100,3,,
019d6e83-77be-7d51-adde-58ce838ad828,کیچپ 20 والی,90543462637,,نیشنل مصالہ,,نیشنل مصالہ,,8640,FALSE,170,FALSE,6480,6,,
019d6e83-77be-7d51-adde-58ce838ad828,کیچپ پاؤ,98531434474,,نیشنل مصالہ,,نیشنل مصالہ,,2880,FALSE,2240,FALSE,2520,6,,
019d6e83-77be-7d51-adde-58ce838ad828,کیچپ آدھا کلو,32924420174,,نیشنل مصالہ,,نیشنل مصالہ,,2640,FALSE,175,FALSE,2400,6,,
019d6e83-77be-7d51-adde-58ce838ad828,کیچپ کلو,98857794344,,نیشنل مصالہ,,نیشنل مصالہ,,4560,FALSE,3950,FALSE,4320,3,,
019d6e83-77be-7d51-adde-58ce838ad828,سویا چلی سوس,94098448549,,نیشنل مصالہ,,نیشنل مصالہ,,2160,FALSE,165,FALSE,2040,6,,
019d6e83-77be-7d51-adde-58ce838ad828,نیشنل نمک,41636081944,,نیشنل مصالہ,,نیشنل مصالہ,,1440,FALSE,1160,FALSE,1200,6,,
019d6e83-77be-7d51-adde-58ce838ad828,قصوری میتھی ڈبہ,90643584383,,نیشنل مصالہ,,نیشنل مصالہ,,7680,FALSE,6300,FALSE,6720,6,,
019d6e83-77be-7d51-adde-58ce838ad828,نیشنل سرکہ,18859136968,,نیشنل مصالہ,,نیشنل مصالہ,,1440,FALSE,105,FALSE,1320,6,,
019d6e83-77be-7d51-adde-58ce838ad828,B Q K I مصالہ شاشے,59621258639,,نیشنل مصالہ,,نیشنل مصالہ,,11520,FALSE,9800,FALSE,10200,6,,
019d6e83-77be-7d51-adde-58ce838ad828,B Q K I مصالہ ڈبہ,74346480827,,نیشنل مصالہ,,نیشنل مصالہ,,20160,FALSE,18000,FALSE,18720,6,,
019d6e83-77be-7d51-adde-58ce838ad828,اچارکلو والا,35288126720,,نیشنل مصالہ,,نیشنل مصالہ,,7200,FALSE,590,FALSE,7200,12,,
019d6e83-77be-7d51-adde-58ce838ad828,اچارآدھا کلو ,62576640804,,نیشنل مصالہ,,نیشنل مصالہ,,2700,FALSE,285,FALSE,2700,9,,
019d6e83-77be-7d51-adde-58ce838ad828,سپر ہاف رول مکس,78039421557,,City,,بسکٹ,,5220,FALSE,0,FALSE,5200,18,,
019d6e83-77be-7d51-adde-58ce838ad828,سپریم باؤ,21957163469,,City,,پتی,,21000,FALSE,0,FALSE,19800,3,,
019d6e83-77be-7d51-adde-58ce838ad828,سویاں 50والی,46085552089,,ہاجی سلطان,,سویاں,,5000,FALSE,0,FALSE,4000,6,,
019d6e83-77be-7d51-adde-58ce838ad828,مخانے,72258515184,,ہاجی سلطان,,سویاں,,2500,FALSE,0,FALSE,2500,10,,
019d6e83-77be-7d51-adde-58ce838ad828,دانے دار پاؤ,22625414948,,City,,پتی,,22200,FALSE,0,FALSE,21000,3,,
